atlas,system,api_name,api_url,called_by,functional,method
Sweden,images,image_licences,https://images.biodiversitydata.se/licence,show_all-licences,TRUE,GET
Sweden,images,image_metadata,https://images.biodiversitydata.se/image/,media_metadata,FALSE,GET
Sweden,logger,logger_reasons,https://logger.biodiversitydata.se/service/logger/reasons,show_all-reasons,TRUE,GET
Sweden,records,records_assertions,https://records.biodiversitydata.se/ws/assertions/codes,show_all-assertions,TRUE,GET
Sweden,records,records_counts,https://records.biodiversitydata.se/ws/occurrences/search,atlas_counts,TRUE,GET
Sweden,records,records_facets,https://records.biodiversitydata.se/ws/occurrence/facets,"atlas_counts, show_values-fields",TRUE,GET
Sweden,records,records_fields,https://records.biodiversitydata.se/ws/index/fields,show_all-fields,TRUE,GET
Sweden,records,records_occurrences,https://records.biodiversitydata.se/ws/occurrences/offline/download,atlas_occurrences,TRUE,GET
Sweden,records,records_query,https://records.biodiversitydata.se/ws/webportal/params,atlas_occurrences,TRUE,GET
Sweden,records,records_species,https://records.biodiversitydata.se/ws/occurrences/facets/download,atlas_species,TRUE,GET
Sweden,spatial,spatial_layers,https://sds.biodiversitydata.se/ws/layers,show_all-fields,TRUE,GET
Sweden,species,species_children,https://species.biodiversitydata.se/ws/childConcepts/,atlas_taxonomy,TRUE,GET
Sweden,species,species_lookup,https://species.biodiversitydata.se/ws/species,atlas_taxonomy,TRUE,GET
Sweden,name-matching,names_lookup,https://namematching.biodiversitydata.se/api/getByTaxonID,search_identifiers,TRUE,GET
Sweden,name-matching,names_search_multiple,https://namematching.biodiversitydata.se/api/searchByClassification,search_taxa,TRUE,GET
Sweden,name-matching,names_search_single,https://namematching.biodiversitydata.se/api/search?q={name},search_taxa,TRUE,GET
United Kingdom,collections,collections_collections,https://registry.nbnatlas.org/ws/collection,show_all-collections,TRUE,GET
United Kingdom,collections,collections_datasets,https://registry.nbnatlas.org/ws/dataResource,show_all-datasets,TRUE,GET
United Kingdom,collections,collections_providers,https://registry.nbnatlas.org/ws/dataProvider,show_all-providers,TRUE,GET
United Kingdom,images,image_licences,https://images.nbnatlas.org/licence,show_all-licences,TRUE,GET
United Kingdom,images,image_metadata,https://images.nbnatlas.org/ws/getImageInfoForIdList,media_metadata,TRUE,POST
United Kingdom,images,image_download,https://api.ala.org.au/images/ws/image/{id}/original,media_download,TRUE,GET
United Kingdom,lists,lists_all,https://lists.nbnatlas.org/ws/speciesList,show_all-lists,TRUE,GET
United Kingdom,lists,lists_lookup,https://lists.nbnatlas.org/ws/speciesListItems/{list_id},show_values-lists,TRUE,GET
United Kingdom,logger,logger_reasons,https://logger.nbnatlas.org/service/logger/reasons,show_all-reasons,TRUE,GET
United Kingdom,species,names_search_bulk_species,https://bie.ala.org.au/ws/species/lookup/bulk,atlas_species,TRUE,POST
United Kingdom,name-matching,names_search_single,https://species-ws.nbnatlas.org/search?q={name}&pageSize=5,search_taxa,TRUE,GET
United Kingdom,records,records_assertions,https://records-ws.nbnatlas.org/assertions/codes,show_all-assertions,TRUE,GET
United Kingdom,records,records_counts,https://records-ws.nbnatlas.org/occurrences/search,atlas_counts,TRUE,GET
United Kingdom,records,records_facets,https://records-ws.nbnatlas.org/occurrence/facets,"atlas_counts, show_values-fields",TRUE,GET
United Kingdom,records,records_fields,https://records-ws.nbnatlas.org/index/fields,show_all-fields,TRUE,GET
United Kingdom,records,records_occurrences,https://records-ws.nbnatlas.org/occurrences/index/download,atlas_occurrences,TRUE,GET
United Kingdom,records,records_species,https://records-ws.nbnatlas.org/occurrence/facets,atlas_species,TRUE,GET
United Kingdom,species,species_children,https://species-ws.nbnatlas.org/childConcepts/{id}/children,atlas_taxonomy,TRUE,GET
United Kingdom,species,species_lookup,https://species-ws.nbnatlas.org/childConcepts/{id},atlas_taxonomy,TRUE,GET
